ClientID,Lat,Lon,ProductType,Kg
7194866368,4.64211955,-74.06162087,Dry,35
7195784829,4.63459142,-74.12256504,Chilled,10
7195877677,4.63649732,-74.11534413,Dry,5
7195900382,4.6681447,-74.14129238,Dry,16
7196050128,4.66630802,-74.05558452,Chilled,1
7196070458,4.65529235,-74.10904855,Dry,2
7196172487,4.60370988,-74.08690763,Dry,18
7196216637,4.66833991,-74.05373876,Dry,66
7196233007,4.780259057,-74.18340481,Dry,4
7196501308,4.88403898,-74.035289,Chilled,31
7196651679,4.65527836,-74.05734558,Dry,10
7196652764,4.57949123,-74.21711311,Dry,16
7196658623,4.64702498,-74.10241505,Chilled,3
7196732011,4.66926487,-74.06389095,Chilled,25
7196736054,4.60773974,-74.07033055,Chilled,5
7196737254,4.62676356,-74.12226561,Chilled,1
7196752514,4.562947,-74.238684,Dry,9
7196796840,4.70259454,-74.02883838,Chilled,14
7196796840,4.70259454,-74.02883838,Dry,1
7196818054,4.6059466,-74.08290443,Chilled,6
7196820877,4.6905863,-74.06545933,Dry,38
7196836089,4.7633463,-74.0462321,Chilled,2
7196836089,4.7633463,-74.0462321,Dry,163
7196836097,4.74153819,-74.04365598,Chilled,6
7196836113,4.67491877,-74.05417341,Chilled,52
7196836113,4.67491877,-74.05417341,Dry,25
7196836113,4.67491877,-74.05417341,Frozen,10
7196836122,4.645903535,-74.13020525,Chilled,24
7196836122,4.645903535,-74.13020525,Dry,14
7196836126,4.73777751,-74.08573726,Dry,5
7196836126,4.73777751,-74.08573726,Chilled,8
7196837504,4.58090569,-74.12693663,Chilled,32
7196837514,4.58551855,-74.12555129,Chilled,42
7196837884,4.67970034,-74.08288423,Chilled,2
7196837884,4.67970034,-74.08288423,Frozen,5
7196838056,4.5988429,-74.07264019,Chilled,2
7196838056,4.5988429,-74.07264019,Dry,19
7196839329,4.63270907,-74.13368745,Chilled,142
7196839395,4.70645714,-74.05132188,Chilled,5
7196839395,4.70645714,-74.05132188,Dry,3
7196839425,4.66087359,-74.05380553,Chilled,15
7196839425,4.66087359,-74.05380553,Dry,3
7196839441,4.71727133,-74.0465289,Chilled,7
7196839450,4.69450117,-74.03027572,Dry,2
7196839450,4.69450117,-74.03027572,Chilled,7
7196839495,4.73177189,-74.04587378,Dry,2
7196839495,4.73177189,-74.04587378,Chilled,6
7196839519,4.67724809,-74.04997591,Chilled,4
7196839519,4.67724809,-74.04997591,Dry,1
7196839533,4.69112099,-74.16555748,Chilled,3
7196839533,4.69112099,-74.16555748,Dry,3
7196839631,4.68485247,-74.06806676,Chilled,10
7196839684,4.63904425,-74.09824441,Chilled,9
7196839684,4.63904425,-74.09824441,Dry,37
7196839829,4.69175546,-74.03487117,Chilled,6
7196839953,4.61912198,-74.06826556,Dry,10
7196839990,4.629176214,-74.159303,Chilled,6
7196840018,4.715156,-74.225324,Chilled,127
7196840018,4.715156,-74.225324,Dry,174
7196840101,4.63146494,-74.15515915,Chilled,20
7196840101,4.63146494,-74.15515915,Dry,2
7196840326,4.67467506,-74.04852459,Dry,3
7196840391,4.77330852,-74.05264098,Dry,20
7196840565,4.65608874,-74.06035977,Chilled,294
7196840565,4.65608874,-74.06035977,Dry,359
7196840708,4.79248155,-74.04371793,Chilled,3
7196840708,4.79248155,-74.04371793,Dry,28
7196840708,4.79248155,-74.04371793,Frozen,4
7196840776,4.69410984,-74.08554061,Chilled,5
7196841004,4.67032525,-74.07728743,Dry,7
7196841046,4.73789802,-74.25556827,Dry,4
7196841046,4.73789802,-74.25556827,Frozen,3
7196841114,4.65279663,-74.12426962,Chilled,7
7196841154,4.70213153,-74.04115166,Chilled,7
7196841154,4.70213153,-74.04115166,Dry,3
7196841224,4.65478707,-74.05788967,Dry,36
7196841224,4.65478707,-74.05788967,Chilled,12
7196841226,4.61631061,-74.10472989,Chilled,10
7196841278,4.62691304,-74.06473299,Chilled,13
7196841323,4.865564381,-74.03957068,Chilled,8
7196841340,4.64885254,-74.05678136,Chilled,5
7196841340,4.64885254,-74.05678136,Dry,2
7196841397,4.69062088,-74.05320971,Chilled,20
7196841397,4.69062088,-74.05320971,Dry,6
7196841400,4.884929,-74.039102,Chilled,27
7196841421,4.68041664,-74.05717329,Chilled,2
7196841449,4.69061071,-74.03820303,Chilled,14
7196841504,4.67524964,-74.04942256,Chilled,5
7196841504,4.67524964,-74.04942256,Dry,3
7196841512,4.7299805,-74.03292477,Dry,36
7196841607,4.65190496,-74.05622458,Chilled,133
7196841651,4.64807456,-74.10048026,Chilled,9
7196841766,4.76719899,-74.184166,Chilled,13
7196841781,4.70091983,-74.1144832,Dry,7
7196841795,4.70876149,-74.0507226,Dry,27
7196841814,4.677144636,-74.11724156,Chilled,2
7196841909,4.6681838,-74.05263939,Chilled,4
7196841934,4.69973017,-74.03029642,Chilled,4
7196842023,4.65364791,-74.05500095,Chilled,23
7196842097,4.61202722,-74.08540868,Chilled,35
7196842179,4.64784161,-74.06079804,Dry,6
7196842311,4.66703397,-74.05526971,Chilled,45
7196842311,4.66703397,-74.05526971,Dry,100
7196842353,4.66032524,-74.05369395,Chilled,6
