Date,ClientID,Lat,Lon,Kg,ProductType
2024-08-29,7197481528,4.603044230061981,-74.10322377901089,77,Dry
2024-08-29,7197532819,4.538387114873933,-74.12045400122398,58,Chilled
2024-08-29,7197533544,4.591594889699254,-74.12310587211107,102,Chilled
2024-08-29,7197533987,4.5826201206739245,-74.1556884933477,46,Chilled
2024-08-29,7197534148,4.599723059206673,-74.09493264392226,96,Dry
2024-08-29,7197634754,4.688689317825611,-74.11789578312508,229,Dry
2024-08-29,7197635413,4.6887425097140465,-74.11794807162059,60,Dry
2024-08-29,7197637144,4.671412473990508,-74.06716993193979,486,Dry
2024-08-29,7197638871,4.688712143445338,-74.11791785780149,172,Dry
2024-08-29,7197694046,4.77810114073784,-74.06132319052011,71,Dry
2024-08-29,7197696437,4.638308851338462,-74.11363688716585,200,Chilled
2024-08-29,7197722342,4.65687982865145,-74.05742841912095,47,Dry
2024-08-29,7197723293,4.658331560996289,-74.06743604347196,101,Chilled
2024-08-29,7197725118,4.782167714837461,-74.18343822268179,110,Chilled
2024-08-29,7197727915,4.761027565936728,-74.1653444016806,3239,Dry
2024-08-29,7197738396,4.71510657815996,-74.22534904910647,158,Dry
2024-08-29,7197739096,4.8510056629285305,-74.07637133165238,1000,Dry
2024-08-29,7197741296,4.64681394682931,-74.11532700633582,60,Chilled
2024-08-29,7197741296,4.64681394682931,-74.11532700633582,40,Dry
2024-08-29,7197742600,4.764760758602022,-74.17871641847763,1025,Dry
2024-08-29,7197743957,4.626620924453082,-74.10433125695214,50,Dry
2024-08-29,7197744398,4.715977685738283,-74.05352119022596,41,Dry
2024-08-29,7197745254,4.786209919813287,-74.22012696026802,50,Dry
2024-08-29,7197745685,4.670256102965421,-74.05317021675722,69,Dry
2024-08-29,7197748049,4.752732337968216,-74.13915679820985,92,Dry
2024-08-29,7197749097,4.679604990793205,-74.1325322636995,93,Chilled
2024-08-29,7197749359,4.672341703208221,-74.06686809552369,42,Chilled
2024-08-29,7197753440,4.717179438027303,-74.03259879945884,51,Dry
2024-08-29,7197753441,4.752577684338539,-74.08124952550885,136,Chilled
2024-08-29,7197753441,4.752577684338539,-74.08124952550885,87,Dry
2024-08-29,7197754662,4.73181146672782,-74.04653452932054,43,Chilled
2024-08-29,7197756330,4.646741312765956,-74.12178950949684,200,Chilled
2024-08-29,7197756902,4.702285625077306,-74.04263507591412,49,Chilled
2024-08-29,7197756902,4.702285625077306,-74.04263507591412,50,Dry
2024-08-29,7197756946,4.599625428972888,-74.09503316082869,184,Dry
2024-08-29,7197757315,4.626401765672196,-74.10228563249163,132,Chilled
2024-08-29,7197757315,4.626401765672196,-74.10228563249163,475,Dry
2024-08-29,7197757351,4.745945263495197,-74.04464822331745,72,Dry
2024-08-29,7197757470,4.626324388096341,-74.10218032748605,105,Chilled
2024-08-29,7197758054,4.68865006651884,-74.14854838759621,247,Chilled
2024-08-29,7197758122,4.696130905280888,-74.03291616591864,87,Chilled
2024-08-29,7197758220,4.620500883665122,-74.06499704478239,89,Chilled
2024-08-29,7197758220,4.620500883665122,-74.06499704478239,56,Dry
2024-08-29,7197758384,4.741127900608569,-74.03419422867013,75,Dry
2024-08-29,7197758417,4.6421277655476345,-74.07933852691079,66,Chilled
2024-08-29,7197758417,4.6421277655476345,-74.07933852691079,43,Dry
2024-08-29,7197759115,4.708574937252316,-74.04167753412825,40,Dry
2024-08-29,7197759982,4.735564994493883,-74.0437492864487,162,Dry
2024-08-29,7197760104,4.6308450360324045,-74.1841477265396,250,Dry
2024-08-29,7197760451,4.735626895293842,-74.04380634620044,48,Chilled
2024-08-29,7197760451,4.735626895293842,-74.04380634620044,275,Dry
2024-08-29,7197760708,4.629891166648784,-74.12829318280055,80,Dry
2024-08-29,7197760919,4.817918980707445,-74.13255688332949,94,Dry
2024-08-29,7197761620,4.630455538015026,-74.09288727841876,146,Dry
2024-08-29,7197761690,4.665861544852771,-74.05070224952009,57,Dry
2024-08-29,7197761748,4.704059003561714,-74.05479739544273,60,Chilled
2024-08-29,7197762196,4.638957782453092,-74.0981486962893,104,Chilled
2024-08-29,7197762196,4.638957782453092,-74.0981486962893,81,Dry
2024-08-29,7197762414,4.863307811564167,-74.02548151708585,80,Chilled
2024-08-29,7197762709,4.669579599655518,-74.0536097865693,41,Chilled
2024-08-29,7197762709,4.669579599655518,-74.0536097865693,62,Dry
2024-08-29,7197762802,4.655436503298287,-74.05586139510348,40,Dry
2024-08-29,7197762916,4.5917067328914305,-74.12310252157951,173,Chilled
