Date,ClientID,Lat,Lon,Kg,ProductType
2024-07-27,7196629780,4.655448178946167,-74.05582405955643,34,Dry
2024-07-27,7196649946,4.68399806773298,-74.08692870499308,485,Dry
2024-07-27,7196651159,4.669229573850288,-74.06386996038145,3,Dry
2024-07-27,7196651241,4.646712206986772,-74.1152496026843,3,Chilled
2024-07-27,7196651341,4.682827542780975,-74.05675244821771,19,Chilled
2024-07-27,7196651341,4.682827542780975,-74.05675244821771,22,Dry
2024-07-27,7196651931,4.6366234309092365,-74.06507924746568,14,Chilled
2024-07-27,7196651977,4.663139775672473,-74.10435904209346,58,Chilled
2024-07-27,7196652163,4.636574291307067,-74.06513673374316,10,Chilled
2024-07-27,7196652527,4.623620202370366,-74.08196222742292,8,Chilled
2024-07-27,7196652527,4.623620202370366,-74.08196222742292,2,Dry
2024-07-27,7196652601,4.6235411569882015,-74.08194971865346,2,Chilled
2024-07-27,7196652764,4.629091833090392,-74.0630636408038,3,Dry
2024-07-27,7196654647,4.682854773387015,-74.05681545427042,36,Chilled
2024-07-27,7196654647,4.682854773387015,-74.05681545427042,11,Dry
2024-07-27,7196655282,4.63652684709246,-74.06500376254314,27,Chilled
2024-07-27,7196655282,4.63652684709246,-74.06500376254314,27,Dry
2024-07-27,7196657207,4.679542640206046,-74.13251604217152,67,Chilled
2024-07-27,7196657207,4.679542640206046,-74.13251604217152,38,Dry
2024-07-27,7196658100,4.651975860249614,-74.12341608972086,6,Chilled
2024-07-27,7196658100,4.651975860249614,-74.12341608972086,11,Dry
2024-07-27,7196658265,4.6694652858431684,-74.10481274360212,13,Chilled
2024-07-27,7196658265,4.6694652858431684,-74.10481274360212,29,Dry
2024-07-27,7196661535,4.6961574877395345,-74.14293409792953,167,Chilled
2024-07-27,7196661535,4.6961574877395345,-74.14293409792953,153,Dry
2024-07-27,7196661788,4.663830148661123,-74.07997573556909,8,Chilled
2024-07-27,7196661788,4.663830148661123,-74.07997573556909,31,Dry
2024-07-27,7196663163,4.623677263478637,-74.0820585474843,44,Chilled
2024-07-27,7196663163,4.623677263478637,-74.0820585474843,45,Dry
2024-07-27,7196663773,4.641373320975553,-74.10507873074808,20,Chilled
2024-07-27,7196666083,4.683343659936174,-74.05241803698772,2,Chilled
2024-07-27,7196666083,4.683343659936174,-74.05241803698772,3,Dry
2024-07-27,7196666320,4.616706754285147,-74.0708474056985,17,Chilled
2024-07-27,7196666320,4.616706754285147,-74.0708474056985,108,Dry
2024-07-27,7196666805,4.62493631256594,-74.0670525887349,68,Dry
2024-07-27,7196667423,4.638977657966354,-74.0981450501305,5,Chilled
2024-07-27,7196667429,4.69401620607806,-74.0854747811481,7,Dry
2024-07-27,7196668790,4.656748945706768,-74.0573636054779,25,Chilled
2024-07-27,7196668790,4.656748945706768,-74.0573636054779,49,Dry
2024-07-27,7196670743,4.5966613189777314,-74.0761235136591,19,Dry
2024-07-27,7196672747,4.706238692852295,-74.05097599289704,21,Chilled
2024-07-27,7196672747,4.706238692852295,-74.05097599289704,3,Dry
2024-07-27,7196672997,4.630464211021864,-74.09297013045456,75,Dry
2024-07-27,7196673352,4.706487429645245,-74.05136969391728,57,Chilled
2024-07-27,7196674274,4.6662758746582895,-74.05257123250105,8,Chilled
2024-07-27,7196684254,4.626437371712285,-74.10235038036971,130,Chilled
2024-07-27,7196684254,4.626437371712285,-74.10235038036971,503,Dry
2024-07-27,7196686106,4.685254855217557,-74.12457428087421,8,Chilled
2024-07-27,7196686108,4.654574927792139,-74.07751609686892,2,Chilled
2024-07-27,7196686111,4.692697420208625,-74.13623866114368,3,Chilled
2024-07-27,7196686112,4.6892644239619345,-74.12830109704286,2,Chilled
