Date,ClientID,Lat,Lon,Kg,ProductType
2024-06-13,7194966486,4.682800674026907,-74.08546683807162,252,Dry
2024-06-13,7194966753,4.691636554715943,-74.11791568623919,768,Dry
2024-06-13,7194966933,4.741825785953957,-74.14152109142505,1116,Dry
2024-06-13,7194975029,4.77520799590277,-74.17892427818494,228,Dry
2024-06-13,7195049810,4.76604127937695,-74.17757302437991,475,Frozen
2024-06-13,7195051766,4.766118306731551,-74.17763410879226,530,Dry
2024-06-13,7195121554,4.757505137331808,-74.14729326601962,42,Dry
2024-06-13,7195145131,4.761100059518003,-74.16536945803865,3230,Dry
2024-06-13,7195151864,4.8000895013670934,-74.09500747620352,95,Chilled
2024-06-13,7195162930,4.588385302344858,-74.2035249791468,182,Chilled
2024-06-13,7195172727,4.76607455094654,-74.17759879362511,42,Dry
2024-06-13,7195173949,4.683948641787291,-74.04906303299337,111,Dry
2024-06-13,7195177340,4.690630287782244,-74.05322478824425,104,Dry
2024-06-13,7195181284,4.736848361349393,-74.02699299143175,524,Dry
2024-06-13,7195185261,4.57648841439068,-74.09111288059219,350,Dry
2024-06-13,7195190647,4.682832304491423,-74.08741934337112,104,Chilled
2024-06-13,7195190647,4.682832304491423,-74.08741934337112,923,Dry
2024-06-13,7195192960,4.757505298175938,-74.14739533285054,44,Dry
2024-06-13,7195195499,4.6788533568940265,-74.12741551030226,50,Chilled
2024-06-13,7195196280,4.761037890092584,-74.16542368664071,192,Dry
2024-06-13,7195199351,4.782168504510796,-74.18350911371165,100,Chilled
2024-06-13,7195200022,4.782080573894499,-74.18334909738768,100,Chilled
2024-06-13,7195200116,4.782106749365552,-74.18349548076634,80,Dry
2024-06-13,7195200191,4.7821908175269785,-74.1834630579148,80,Dry
2024-06-13,7195200303,4.701138686808521,-74.04432517301012,101,Dry
2024-06-13,7195205193,4.5888095416549035,-74.19502518900107,290,Chilled
2024-06-13,7195208233,4.626947780279181,-74.06467529966609,100,Chilled
2024-06-13,7195208251,4.626867520478261,-74.06467311110033,40,Dry
2024-06-13,7195208877,4.782124290459222,-74.18335221944689,320,Chilled
2024-06-13,7195214782,4.7287820957708036,-74.12710033097937,46,Chilled
2024-06-13,7195214782,4.7287820957708036,-74.12710033097937,43,Dry
2024-06-13,7195215937,4.806245659606235,-74.03777044191271,342,Dry
