Date,ClientID,Lat,Lon,Kg,ProductType
2024-06-15,7195065090,4.65462063698721,-74.07751333997419,5,Chilled
2024-06-15,7195066258,4.720018869216793,-74.03828367722839,2,Chilled
2024-06-15,7195066451,4.740643203839046,-74.03402742869615,8,Chilled
2024-06-15,7195066451,4.740643203839046,-74.03402742869615,5,Dry
2024-06-15,7195161605,4.612152002517939,-74.07513252896516,14,Dry
2024-06-15,7195161657,4.684918670102812,-74.05124884621117,58,Dry
2024-06-15,7195197517,4.669795274361525,-74.05330408744862,18,Chilled
2024-06-15,7195209122,4.641515525989543,-74.1207069060365,25,Dry
2024-06-15,7195215303,4.766093903732794,-74.1776428147212,445,Chilled
2024-06-15,7195215303,4.766093903732794,-74.1776428147212,23,Dry
2024-06-15,7195218307,4.7660707643631275,-74.17764904185533,2655,Chilled
2024-06-15,7195219341,4.6545987500439505,-74.05260004129345,23,Chilled
2024-06-15,7195219341,4.6545987500439505,-74.05260004129345,17,Dry
2024-06-15,7195221009,4.691638766348027,-74.11785468298731,150,Dry
2024-06-15,7195226222,4.673023582456617,-74.04819231131793,11,Chilled
2024-06-15,7195226222,4.673023582456617,-74.04819231131793,5,Dry
2024-06-15,7195231706,4.651302525287754,-74.12570399432846,6,Chilled
2024-06-15,7195231706,4.651302525287754,-74.12570399432846,7,Dry
2024-06-15,7195234655,4.696688889659947,-74.04371310661382,53,Dry
2024-06-15,7195235090,4.767098390459824,-74.18412798067895,134,Dry
2024-06-15,7195237068,4.633311481092491,-74.11786656743581,15,Dry
2024-06-15,7195237525,4.854670476887194,-74.06643171686311,100,Dry
2024-06-15,7195242110,4.630289557774296,-74.09992194415797,120,Dry
2024-06-15,7195250577,4.694074900241027,-74.0753158532839,9,Dry
2024-06-15,7195250756,4.663682486677269,-74.07989224044815,2,Chilled
2024-06-15,7195250756,4.663682486677269,-74.07989224044815,4,Dry
2024-06-15,7195251027,4.685878109653494,-74.05329637468228,17,Chilled
2024-06-15,7195251027,4.685878109653494,-74.05329637468228,24,Dry
2024-06-15,7195251302,4.6828721818931225,-74.05678871108681,53,Chilled
2024-06-15,7195251302,4.6828721818931225,-74.05678871108681,9,Dry
2024-06-15,7195251596,4.782077386910392,-74.18348674621673,36,Chilled
2024-06-15,7195252659,4.743019644586124,-74.14233871938974,9,Dry
2024-06-15,7195254491,4.875559933539328,-74.03934903213838,10,Chilled
2024-06-15,7195254491,4.875559933539328,-74.03934903213838,5,Dry
2024-06-15,7195255204,4.6366671412745,-74.06499672435554,69,Chilled
2024-06-15,7195255204,4.6366671412745,-74.06499672435554,29,Dry
2024-06-15,7195255429,4.741313432380785,-74.13716609776674,4,Dry
2024-06-15,7195256030,4.74808951034273,-74.16275845249498,26,Dry
2024-06-15,7195256030,4.74808951034273,-74.16275845249498,15,Frozen
2024-06-15,7195256637,4.663832417138631,-74.07980794236987,9,Chilled
2024-06-15,7195256637,4.663832417138631,-74.07980794236987,22,Dry
2024-06-15,7195260028,4.698761273115887,-74.0300276924099,4,Chilled
2024-06-15,7195260437,4.623620492959752,-74.08204114006723,36,Chilled
2024-06-15,7195260437,4.623620492959752,-74.08204114006723,44,Dry
2024-06-15,7195260437,4.623620492959752,-74.08204114006723,3,Frozen
2024-06-15,7195262179,4.583173948318949,-74.10589887593106,64,Chilled
2024-06-15,7195262179,4.583173948318949,-74.10589887593106,38,Dry
2024-06-15,7195262179,4.583173948318949,-74.10589887593106,9,Frozen
2024-06-15,7195263177,4.6668955399447505,-74.05472709071263,45,Dry
2024-06-15,7195263560,4.682894535588673,-74.05837242378776,2,Dry
2024-06-15,7195266085,4.69513572324649,-74.08839599843837,12,Chilled
2024-06-15,7195266085,4.69513572324649,-74.08839599843837,10,Dry
2024-06-15,7195266795,4.647187823287022,-74.10573673761867,112,Chilled
2024-06-15,7195266795,4.647187823287022,-74.10573673761867,315,Dry
2024-06-15,7195268970,4.735566265677853,-74.04381762577454,3,Chilled
2024-06-15,7195268970,4.735566265677853,-74.04381762577454,2,Dry
2024-06-15,7195270416,4.894576103540639,-74.01769684075596,9,Frozen
2024-06-15,7195272519,4.752521532224097,-74.08136951427187,6,Chilled
2024-06-15,7195274862,4.670132728003001,-74.15351802754084,2,Frozen
2024-06-15,7195276376,4.60687466879509,-74.21734478780432,27,Dry
2024-06-15,7195276491,4.695739180465945,-74.2442347360933,62,Chilled
2024-06-15,7195276977,4.691527189488504,-74.11798348688586,566,Dry
2024-06-15,7195277022,4.695767193676452,-74.24426334801737,680,Dry
2024-06-15,7195277214,4.691576297617544,-74.11795619175412,100,Dry
2024-06-15,7195277490,4.695745572680073,-74.24427360019452,18,Dry
2024-06-15,7195277540,4.759389517080932,-74.15180719570519,94,Dry
2024-06-15,7195277747,4.764417911046316,-74.17999635868935,29,Dry
2024-06-15,7195278773,4.6998540128135495,-74.18485839797087,9,Dry
2024-06-15,7195278925,4.699847667926174,-74.18470240739596,4,Dry
2024-06-15,7195279607,4.74296565606787,-74.14235523480473,13,Dry
2024-06-15,7195279860,4.742980819574853,-74.14230256745734,47,Dry
2024-06-15,7195279862,4.78206533446886,-74.18335562583825,340,Chilled
2024-06-15,7195279926,4.6825657666119085,-74.13416037086317,8,Chilled
2024-06-15,7195279926,4.6825657666119085,-74.13416037086317,10,Dry
2024-06-15,7195281623,4.683849048442661,-74.04904762817742,107,Dry
2024-06-15,7195282146,4.656563541347347,-74.07055974269514,2,Chilled
2024-06-15,7195282146,4.656563541347347,-74.07055974269514,21,Dry
2024-06-15,7195282175,4.6578634050840115,-74.05754547070244,21,Dry
2024-06-15,7195282191,4.782204057578875,-74.18347759689365,659,Dry
2024-06-15,7195282233,4.654606191010853,-74.05254700235078,3,Chilled
2024-06-15,7195282233,4.654606191010853,-74.05254700235078,4,Dry
2024-06-15,7195283065,4.6564230653802,-74.07053279540814,3,Dry
