Date,ClientID,Lat,Lon,Kg,ProductType
2024-08-20,7197313234,4.633304573104273,-74.1179871273892,10,Dry
2024-08-20,7197341417,4.651786017157942,-74.06086356042519,29,Dry
2024-08-20,7197355141,4.657045602900117,-74.05606270479959,12,Dry
2024-08-20,7197371097,4.699057374112259,-74.14201968611238,6,Chilled
2024-08-20,7197371127,4.699037301749326,-74.14193233002061,4,Chilled
2024-08-20,7197371245,4.6150378977737,-74.06944576258891,8,Chilled
2024-08-20,7197372728,4.656465562944774,-74.06376613411261,2,Chilled
2024-08-20,7197377925,4.690790258492292,-74.14860674930912,53,Chilled
2024-08-20,7197377925,4.690790258492292,-74.14860674930912,89,Dry
2024-08-20,7197390355,4.684535714509027,-74.11418889225136,91,Chilled
2024-08-20,7197396116,4.646094080795876,-74.10337286220879,2,Chilled
2024-08-20,7197396116,4.646094080795876,-74.10337286220879,5,Dry
2024-08-20,7197400516,4.584430497465384,-74.09972619597107,5,Chilled
2024-08-20,7197406421,4.64019059496696,-74.14471055446364,4,Chilled
2024-08-20,7197406421,4.64019059496696,-74.14471055446364,5,Dry
2024-08-20,7197412541,4.686147698390454,-74.13351681441377,131,Chilled
2024-08-20,7197412541,4.686147698390454,-74.13351681441377,289,Dry
2024-08-20,7197412545,4.642082743328574,-74.0794628017929,42,Chilled
2024-08-20,7197413031,4.591704528921369,-74.12311730548203,442,Chilled
2024-08-20,7197413540,4.665527684895166,-74.0538078871329,71,Chilled
2024-08-20,7197415635,4.667535209477236,-74.05627526390141,16,Dry
2024-08-20,7197416569,4.701415238281094,-74.12375348501291,6,Dry
2024-08-20,7197416866,4.693844066050037,-74.12267136242869,3,Dry
2024-08-20,7197416897,4.616597653875376,-74.07134917725061,5,Chilled
2024-08-20,7197417936,4.6989348472025805,-74.05118371744928,5,Chilled
2024-08-20,7197418153,4.6890856849952955,-74.13109910114717,27,Dry
2024-08-20,7197418325,4.679887927089649,-74.0643364362205,7,Dry
2024-08-20,7197419067,4.663483005460221,-74.05072230331255,4,Chilled
2024-08-20,7197419067,4.663483005460221,-74.05072230331255,66,Dry
2024-08-20,7197419306,4.682618429012736,-74.13427385634019,12,Chilled
2024-08-20,7197419306,4.682618429012736,-74.13427385634019,5,Dry
2024-08-20,7197420704,4.613068172472738,-74.07034911201492,297,Chilled
2024-08-20,7197420704,4.613068172472738,-74.07034911201492,235,Dry
2024-08-20,7197420961,4.61299396778448,-74.0705105025932,3,Chilled
2024-08-20,7197420961,4.61299396778448,-74.0705105025932,12,Dry
2024-08-20,7197421464,4.7012531912109985,-74.14606912885363,90,Chilled
2024-08-20,7197421464,4.7012531912109985,-74.14606912885363,9,Dry
2024-08-20,7197421546,4.625663282772521,-74.098370415728,11,Frozen
