Date,ClientID,Lat,Lon,Kg,ProductType
2024-06-17,7194815957,4.682813644739076,-74.0566363364874,61,Chilled
2024-06-17,7194846138,4.688799484460161,-74.11789058769958,150,Chilled
2024-06-17,7194855608,4.680842311585567,-74.09813747376087,60,Chilled
2024-06-17,7194864883,4.654622337746332,-74.07742526191998,100,Chilled
2024-06-17,7194865287,4.677101594878126,-74.05077460399968,48,Chilled
2024-06-17,7194866268,4.694032520334753,-74.08550381940223,144,Chilled
2024-06-17,7194866524,4.711462457683001,-74.110556909035,155,Chilled
2024-06-17,7194869367,4.709769210553036,-74.10401014169325,83,Chilled
2024-06-17,7194869541,4.680394641852934,-74.05717200369962,33,Chilled
2024-06-17,7194907777,4.706430301736426,-74.0509906497904,42,Chilled
2024-06-17,7194917561,4.704086618261787,-74.04491693833585,87,Chilled
2024-06-17,7194935425,4.700175697458353,-74.02960323974683,59,Chilled
2024-06-17,7195274336,4.761600856953606,-74.16791575686418,396,Chilled
2024-06-17,7195300701,4.6468343503896685,-74.05986276508918,49,Chilled
2024-06-17,7195302907,4.792906907657068,-74.07614244779045,176,Chilled
2024-06-17,7195303414,4.760976521825188,-74.13676852315842,34,Chilled
2024-06-17,7195318120,4.689193988509171,-74.1312401638882,168,Chilled
2024-06-17,7195318901,4.698856241189204,-74.09024340174572,41,Chilled
2024-06-17,7195320194,4.820247887496798,-74.035991356439,47,Chilled
2024-06-17,7195322693,4.62590595110518,-74.10316490643962,48,Chilled
2024-06-17,7195323427,4.6697571674022065,-74.05325521304647,31,Chilled
2024-06-17,7195323815,4.646800973839688,-74.11527346810563,115,Chilled
2024-06-17,7195324411,4.66884865857008,-74.05656587270319,31,Chilled
2024-06-17,7195325735,4.894655515922016,-74.01760422177938,41,Chilled
2024-06-17,7195326415,4.619202606691514,-74.13819018328216,80,Chilled
2024-06-17,7195326991,4.645120024820498,-74.09972503917815,32,Chilled
2024-06-17,7195327345,4.645222460871082,-74.09977010483229,35,Chilled
2024-06-17,7195327427,4.650275381433159,-74.1225903509305,45,Chilled
2024-06-17,7195327456,4.7723020559310045,-74.04455982266504,62,Chilled
2024-06-17,7195327580,4.645182045305212,-74.0997343045837,54,Chilled
2024-06-17,7195328790,4.661358810216786,-74.10082202874732,165,Chilled
2024-06-17,7195329963,4.639070696950018,-74.09817382711068,137,Chilled
2024-06-17,7195330805,4.795342096151988,-74.04688462918278,96,Chilled
2024-06-17,7195330830,4.678780003817922,-74.12742928315869,33,Chilled
2024-06-17,7195331588,4.671299993119898,-74.15710772871194,166,Chilled
2024-06-17,7195331852,4.651902577036176,-74.05626908079032,37,Chilled
2024-06-17,7195332528,4.656567835410648,-74.06367905297934,100,Chilled
2024-06-17,7195341870,4.650167453579491,-74.12275933297971,45,Chilled
