Date,ClientID,Lat,Lon,Kg,ProductType
2024-07-25,7196439113,4.738767648863728,-74.06540720143386,121,Chilled
2024-07-25,7196530917,4.782073617461292,-74.1835081328729,300,Chilled
2024-07-25,7196567671,4.806158646826604,-74.03786967006334,42,Chilled
2024-07-25,7196582867,4.8871879912953275,-73.9636446360063,117,Chilled
2024-07-25,7196584472,4.706477888924702,-74.05139508385463,69,Chilled
2024-07-25,7196592500,4.656396303262652,-74.06378271986873,62,Chilled
2024-07-25,7196606749,4.732126597226275,-74.0425396799429,87,Chilled
2024-07-25,7196606752,4.675490120436068,-74.05544691494565,33,Chilled
2024-07-25,7196607108,4.669505365878525,-74.05349583532062,47,Chilled
2024-07-25,7196608907,4.6809982294591945,-74.05418705051173,115,Chilled
2024-07-25,7196610755,4.719591836771817,-74.0465914053082,90,Chilled
2024-07-25,7196610931,4.689191977290402,-74.13115615048834,183,Chilled
2024-07-25,7196611744,4.73692105462945,-74.02687351593893,100,Chilled
2024-07-25,7196612424,4.655652129923179,-74.05518290562449,42,Chilled
2024-07-25,7196612875,4.665737300012516,-74.0699461284733,88,Chilled
2024-07-25,7196613666,4.6754608454009245,-74.05542492258266,40,Chilled
2024-07-25,7196614529,4.806536067821588,-74.03672474467984,104,Chilled
2024-07-25,7196615873,4.626929230157499,-74.06468297340214,62,Chilled
2024-07-25,7196616123,4.646780987893485,-74.12179044194521,200,Chilled
2024-07-25,7196619366,4.688714361541098,-74.11791775825145,139,Chilled
2024-07-25,7196622597,4.74113095347836,-74.03404296983706,47,Chilled
2024-07-25,7196624124,4.6303996165749295,-74.09283576304654,93,Chilled
2024-07-25,7196624368,4.63244928282114,-74.09390844907335,66,Chilled
2024-07-25,7196624372,4.730807057395227,-74.06820375369324,96,Chilled
2024-07-25,7196624383,4.686032416976093,-74.06050806029576,80,Chilled
2024-07-25,7196624706,4.645907126785478,-74.10345284037322,298,Chilled
2024-07-25,7196624875,4.727267214603761,-74.06505105932521,106,Chilled
2024-07-25,7196624967,4.603671053990428,-74.10138833991631,46,Chilled
2024-07-25,7196625005,4.666326276352564,-74.05560163774176,94,Chilled
2024-07-25,7196625103,4.588513995593132,-74.20354209226947,219,Chilled
2024-07-25,7196625365,4.6724209607914995,-74.06688767899554,32,Chilled
2024-07-25,7196625383,4.711478125575771,-74.11054625089079,390,Chilled
2024-07-25,7196625526,4.626426164737573,-74.1021871014558,132,Chilled
2024-07-25,7196625626,4.610325999224509,-74.13798583353456,75,Chilled
2024-07-25,7196625770,4.709745415011997,-74.10402493758544,72,Chilled
2024-07-25,7196625797,4.694019701740557,-74.08555107857057,353,Chilled
2024-07-25,7196625821,4.680997286146889,-74.04084256090125,40,Chilled
2024-07-25,7196626002,4.8061576690556915,-74.03785427380151,48,Chilled
2024-07-25,7196626072,4.715041174295583,-74.0293758611835,77,Chilled
