ClientID,Lat,Lon,Kg,ProductType
10058800,4.669973498661144,-74.04997078455925,10,Chilled
10058800,4.669973498661144,-74.04997078455925,16,Dry
10058800,4.669973498661144,-74.04997078455925,0,Frozen
10058810,4.670023429141087,-74.04994812626387,1,Chilled
10058810,4.670023429141087,-74.04994812626387,9,Dry
10058810,4.670023429141087,-74.04994812626387,1,Frozen
10060620,4.7699146137419035,-74.03995866316131,13,Chilled
10060620,4.7699146137419035,-74.03995866316131,18,Dry
10060620,4.7699146137419035,-74.03995866316131,4,Frozen
10060820,4.6499724621017275,-74.09998894952729,7,Chilled
10060820,4.6499724621017275,-74.09998894952729,8,Dry
10060840,4.629966940533046,-74.07009635358965,3,Chilled
10060840,4.629966940533046,-74.07009635358965,3,Dry
10061430,4.699929968660101,-74.04006885925055,18,Chilled
10061430,4.699929968660101,-74.04006885925055,47,Dry
10061430,4.699929968660101,-74.04006885925055,2,Frozen
10061570,4.660071841658889,-74.05992393246281,0,Chilled
10061570,4.660071841658889,-74.05992393246281,14,Dry
10062510,4.619946323493899,-74.13992312081685,152,Chilled
10070210,4.5999168079804695,-74.16994439854494,2,Chilled
10070210,4.5999168079804695,-74.16994439854494,5,Dry
10070210,4.5999168079804695,-74.16994439854494,0,Frozen
10092060,4.670070294261104,-74.05005205984551,2,Chilled
10092060,4.670070294261104,-74.05005205984551,15,Dry
10092060,4.670070294261104,-74.05005205984551,0,Frozen
10149040,4.870022295526077,-74.05990389176434,2,Chilled
10149040,4.870022295526077,-74.05990389176434,61,Dry
10151090,4.7399915805483195,-74.04008311032591,35,Dry
10151170,4.599949171044669,-74.07001416502543,0,Dry
10199500,4.589926890653467,-74.12005634245135,1,Chilled
10199500,4.589926890653467,-74.12005634245135,3,Dry
10215160,4.809918335635915,-74.03996294810933,1,Dry
10215560,4.600026798796348,-74.18009464715992,0,Chilled
10215560,4.600026798796348,-74.18009464715992,1,Dry
10238020,4.710020831399317,-74.23005882020799,2,Chilled
10238020,4.710020831399317,-74.23005882020799,5,Dry
10238020,4.710020831399317,-74.23005882020799,2,Frozen
10241760,4.75006213306328,-74.03994486082497,10,Chilled
10241760,4.75006213306328,-74.03994486082497,84,Dry
10284080,4.809932726972391,-74.06994637202652,5,Chilled
10284080,4.809932726972391,-74.06994637202652,2,Dry
10284080,4.809932726972391,-74.06994637202652,1,Frozen
10284090,4.690011289514709,-74.03003927907538,2,Chilled
10284090,4.690011289514709,-74.03003927907538,3,Dry
10284280,4.620059619666077,-74.07997590593111,25,Chilled
10284280,4.620059619666077,-74.07997590593111,22,Dry
10284280,4.620059619666077,-74.07997590593111,2,Frozen
10284460,4.629921616970843,-74.06007442818634,1,Chilled
10284460,4.629921616970843,-74.06007442818634,1,Dry
10285010,4.690044883615824,-74.05999001451656,5,Chilled
10285010,4.690044883615824,-74.05999001451656,3,Dry
10286480,4.830055466844517,-74.03004093936639,1,Chilled
10286480,4.830055466844517,-74.03004093936639,0,Dry
10286480,4.830055466844517,-74.03004093936639,0,Frozen
10286570,4.609906051256583,-74.07991153211694,1,Dry
10286640,4.699930192489,-74.14999632211048,19,Chilled
10286640,4.699930192489,-74.14999632211048,55,Dry
10286640,4.699930192489,-74.14999632211048,1,Frozen
10287090,4.729943110140811,-74.06993907993017,8,Chilled
10287090,4.729943110140811,-74.06993907993017,37,Dry
10287220,4.610005606034367,-74.13999228736627,25,Chilled
10287220,4.610005606034367,-74.13999228736627,373,Dry
10287240,4.609971977776365,-74.10997346194691,2,Dry
10287460,4.679905468295796,-74.12004303950462,0,Chilled
10287460,4.679905468295796,-74.12004303950462,18,Dry
10287460,4.679905468295796,-74.12004303950462,1,Frozen
10287480,4.670095672330696,-74.0699736429115,1,Dry
10287540,4.7000893277982865,-74.03999455167754,13,Chilled
10287540,4.7000893277982865,-74.03999455167754,17,Dry
10287560,4.690070699142892,-74.11992364534619,3,Chilled
10287560,4.690070699142892,-74.11992364534619,11,Dry
10287570,4.75003978658631,-74.07999847503038,2,Chilled
10287570,4.75003978658631,-74.07999847503038,1,Dry
10287570,4.75003978658631,-74.07999847503038,0,Frozen
10287960,4.779948318811495,-74.17991331024453,362,Dry
10288120,4.75000249664364,-74.0399054268921,8,Chilled
