ClientID,Lat,Lon,Kg,ProductType
10014619,4.62006717355759,-74.1500887647604,5,Chilled
10014619,4.62006717355759,-74.1500887647604,24,Dry
10035205,4.6599054911508375,-74.0699511251867,11,Chilled
10035205,4.6599054911508375,-74.0699511251867,19,Dry
10045363,4.600004561622423,-74.07997307991775,1,Chilled
10045363,4.600004561622423,-74.07997307991775,8,Dry
10058482,4.800012802151811,-74.03995481576997,5,Chilled
10058482,4.800012802151811,-74.03995481576997,5,Dry
10058482,4.800012802151811,-74.03995481576997,2,Frozen
10058483,4.7199413297230635,-74.04009886106027,3,Chilled
10058483,4.7199413297230635,-74.04009886106027,3,Dry
10058483,4.7199413297230635,-74.04009886106027,0,Frozen
10058497,4.6800867025104695,-74.05005990674468,4,Chilled
10058497,4.6800867025104695,-74.05005990674468,4,Dry
10058497,4.6800867025104695,-74.05005990674468,0,Frozen
10058509,4.819975889596515,-74.04001231762433,18,Chilled
10058509,4.819975889596515,-74.04001231762433,13,Dry
10058509,4.819975889596515,-74.04001231762433,0,Frozen
10058549,4.820055111572118,-74.04005328182008,26,Chilled
10058549,4.820055111572118,-74.04005328182008,29,Dry
10058549,4.820055111572118,-74.04005328182008,0,Frozen
10058571,4.669959345111437,-74.04999062995728,2,Chilled
10058571,4.669959345111437,-74.04999062995728,13,Dry
10058573,4.659931965752574,-74.05993741405698,2,Chilled
10058573,4.659931965752574,-74.05993741405698,3,Dry
10058667,4.62996003645819,-74.11003796084431,1,Chilled
10058667,4.62996003645819,-74.11003796084431,8,Dry
10058667,4.62996003645819,-74.11003796084431,0,Frozen
10058678,4.720085217589509,-74.07005974216308,3,Chilled
10058678,4.720085217589509,-74.07005974216308,6,Dry
10058800,4.6700749540397535,-74.05005966145596,10,Chilled
10058800,4.6700749540397535,-74.05005966145596,16,Dry
10058800,4.6700749540397535,-74.05005966145596,0,Frozen
10058808,4.6800173375331156,-74.0600691526708,13,Chilled
10058808,4.6800173375331156,-74.0600691526708,104,Dry
10058810,4.67005821609019,-74.04997190663433,1,Chilled
10058810,4.67005821609019,-74.04997190663433,9,Dry
10058810,4.67005821609019,-74.04997190663433,1,Frozen
10058813,4.700033234301207,-74.09003708787344,4,Chilled
10058813,4.700033234301207,-74.09003708787344,3,Dry
10058813,4.700033234301207,-74.09003708787344,0,Frozen
10058825,4.6999229320547276,-74.23997238560969,14,Chilled
10058825,4.6999229320547276,-74.23997238560969,6,Dry
10058825,4.6999229320547276,-74.23997238560969,1,Frozen
10058884,4.640066454022002,-74.06997178168992,8,Chilled
10058884,4.640066454022002,-74.06997178168992,12,Dry
10058884,4.640066454022002,-74.06997178168992,1,Frozen
10058961,4.650094964919194,-74.04004126344871,8,Chilled
10058961,4.650094964919194,-74.04004126344871,42,Dry
10058961,4.650094964919194,-74.04004126344871,0,Frozen
10058965,4.660003490150043,-74.11005399803703,28,Chilled
10058965,4.660003490150043,-74.11005399803703,22,Dry
10058966,4.680042320566745,-74.13993913393664,1,Chilled
10058966,4.680042320566745,-74.13993913393664,13,Dry
10059774,4.549946739417413,-74.12004819616158,27,Dry
10059785,4.669991652965327,-74.06001569712046,1,Chilled
10059785,4.669991652965327,-74.06001569712046,4,Dry
10059787,4.620029176367693,-74.14005698168867,1,Chilled
10059787,4.620029176367693,-74.14005698168867,2,Dry
10059791,4.719981690726262,-74.03004486659724,0,Chilled
10059791,4.719981690726262,-74.03004486659724,0,Dry
10059791,4.719981690726262,-74.03004486659724,0,Frozen
10059796,4.659958719533145,-74.10991249705923,0,Chilled
10059796,4.659958719533145,-74.10991249705923,0,Dry
10059804,4.730065575359464,-74.07998267816816,3,Chilled
10059804,4.730065575359464,-74.07998267816816,12,Dry
10059804,4.730065575359464,-74.07998267816816,1,Frozen
10059805,4.689933048537582,-74.05009820725773,3,Chilled
10059805,4.689933048537582,-74.05009820725773,4,Dry
10059825,4.689911446144284,-74.08000856003054,16,Chilled
10059825,4.689911446144284,-74.08000856003054,1,Dry
10059825,4.689911446144284,-74.08000856003054,0,Frozen
10059826,4.670096362507791,-74.0599563131379,17,Chilled
10059826,4.670096362507791,-74.0599563131379,3,Dry
10059827,4.75006819866871,-74.10001090877651,18,Chilled
10059827,4.75006819866871,-74.10001090877651,4,Dry
10059827,4.75006819866871,-74.10001090877651,0,Frozen
10059837,4.699967850432637,-74.02990408770793,3,Chilled
10059837,4.699967850432637,-74.02990408770793,3,Dry
10059915,4.700024151333827,-74.03009995051958,5,Chilled
10059915,4.700024151333827,-74.03009995051958,4,Dry
10059916,4.649995522028107,-74.04994189548596,3,Chilled
10059916,4.649995522028107,-74.04994189548596,2,Dry
10059924,4.6499430982463545,-74.05006439612987,8,Chilled
10059924,4.6499430982463545,-74.05006439612987,4,Dry
10059924,4.6499430982463545,-74.05006439612987,1,Frozen
10060096,4.6000153871274385,-74.07991514862782,0,Chilled
10060096,4.6000153871274385,-74.07991514862782,7,Dry
10060096,4.6000153871274385,-74.07991514862782,2,Frozen
10060097,4.690076369035443,-74.11998509105399,213,Chilled
10060097,4.690076369035443,-74.11998509105399,307,Dry
10060097,4.690076369035443,-74.11998509105399,0,Frozen
10060106,4.669976448651173,-74.04991082612882,7,Chilled
10060106,4.669976448651173,-74.04991082612882,14,Dry
10060106,4.669976448651173,-74.04991082612882,0,Frozen
10060108,4.620008882619017,-74.1500962140607,1,Frozen
10060112,4.599906199006917,-74.07991323163269,2,Chilled
10060112,4.599906199006917,-74.07991323163269,59,Dry
10060156,4.690079086420215,-74.1299164775075,2,Dry
10060209,4.799988724069787,-74.10004818278892,27,Chilled
10060209,4.799988724069787,-74.10004818278892,143,Dry
10060209,4.799988724069787,-74.10004818278892,5,Frozen
10060443,4.630066175650141,-74.13001078220269,164,Chilled
10060443,4.630066175650141,-74.13001078220269,45,Dry
10060554,4.7699894279159505,-74.04000716975504,2,Chilled
10060554,4.7699894279159505,-74.04000716975504,9,Dry
10060554,4.7699894279159505,-74.04000716975504,1,Frozen
10060555,4.610061423806362,-74.0700581260868,0,Dry
10060558,4.799930479418027,-74.04990804475548,14,Chilled
10060558,4.799930479418027,-74.04990804475548,52,Dry
10060558,4.799930479418027,-74.04990804475548,3,Frozen
10060559,4.650040063614463,-74.05992692574372,4,Chilled
10060559,4.650040063614463,-74.05992692574372,26,Dry
10060559,4.650040063614463,-74.05992692574372,5,Frozen
10060607,4.640081654972497,-74.08000189105164,1,Chilled
10060607,4.640081654972497,-74.08000189105164,1,Dry
10060607,4.640081654972497,-74.08000189105164,0,Frozen
10060613,4.699934721996719,-74.07994689890444,25,Chilled
10060613,4.699934721996719,-74.07994689890444,86,Dry
10060614,4.740046638028872,-74.03995791864746,5,Chilled
10060614,4.740046638028872,-74.03995791864746,14,Dry
10060614,4.740046638028872,-74.03995791864746,2,Frozen
10060615,4.789953890447267,-74.08005167340083,39,Chilled
10060615,4.789953890447267,-74.08005167340083,17,Dry
10060615,4.789953890447267,-74.08005167340083,6,Frozen
10060620,4.77005244658064,-74.03993035797014,13,Chilled
10060620,4.77005244658064,-74.03993035797014,18,Dry
10060620,4.77005244658064,-74.03993035797014,4,Frozen
10060702,4.630020186709759,-74.05999576471044,3,Chilled
10060702,4.630020186709759,-74.05999576471044,9,Dry
10060704,4.6299726009807705,-74.05999719604971,0,Chilled
10060704,4.6299726009807705,-74.05999719604971,1,Dry
10060711,4.599905989050821,-74.07005826680223,4,Chilled
10060711,4.599905989050821,-74.07005826680223,2,Dry
10060711,4.599905989050821,-74.07005826680223,1,Frozen
10060716,4.64004451293351,-74.1199349378845,10,Chilled
10060716,4.64004451293351,-74.1199349378845,45,Dry
10060716,4.64004451293351,-74.1199349378845,2,Frozen
10060725,4.620011594428483,-74.07001726001631,0,Chilled
10060725,4.620011594428483,-74.07001726001631,0,Dry
10060734,4.750059435632566,-74.04009233467293,4,Chilled
10060734,4.750059435632566,-74.04009233467293,18,Dry
10060775,4.689968578928269,-74.05991973089729,18,Chilled
10060775,4.689968578928269,-74.05991973089729,68,Dry
10060776,4.890069454727839,-74.02005112435654,12,Chilled
10060776,4.890069454727839,-74.02005112435654,36,Dry
10060776,4.890069454727839,-74.02005112435654,4,Frozen
10060819,4.679940132095937,-74.06007924272521,15,Chilled
10060819,4.679940132095937,-74.06007924272521,10,Dry
10060820,4.649917518577935,-74.09996390821294,7,Chilled
10060820,4.649917518577935,-74.09996390821294,8,Dry
10060832,4.649988735114751,-74.11997071961524,21,Chilled
10060832,4.649988735114751,-74.11997071961524,84,Dry
10060832,4.649988735114751,-74.11997071961524,0,Frozen
10060834,4.660030603963292,-74.0999991469505,31,Chilled
10060834,4.660030603963292,-74.0999991469505,12,Dry
10060834,4.660030603963292,-74.0999991469505,0,Frozen
10060840,4.629967889998069,-74.0699778724075,3,Chilled
10060840,4.629967889998069,-74.0699778724075,3,Dry
10060841,4.6600963129509845,-74.10005881632324,25,Chilled
10060841,4.6600963129509845,-74.10005881632324,172,Dry
10060841,4.6600963129509845,-74.10005881632324,0,Frozen
10060842,4.659969797154635,-74.10004026220928,38,Chilled
10060842,4.659969797154635,-74.10004026220928,53,Dry
10060842,4.659969797154635,-74.10004026220928,0,Frozen
10060853,4.750076439548254,-74.0400262402825,355,Chilled
10060853,4.750076439548254,-74.0400262402825,205,Dry
10060856,4.680087684897977,-74.0500760847471,5,Chilled
10060856,4.680087684897977,-74.0500760847471,18,Dry
10060856,4.680087684897977,-74.0500760847471,2,Frozen
10060895,4.650091564406493,-74.08001161825142,19,Chilled
10060895,4.650091564406493,-74.08001161825142,5658,Dry
10060895,4.650091564406493,-74.08001161825142,20,Frozen
10061427,4.6500986345977875,-74.0599077116952,2,Chilled
10061427,4.6500986345977875,-74.0599077116952,5,Dry
10061427,4.6500986345977875,-74.0599077116952,1,Frozen
10061430,4.699910178968192,-74.03999213809765,18,Chilled
10061430,4.699910178968192,-74.03999213809765,47,Dry
10061430,4.699910178968192,-74.03999213809765,2,Frozen
10061542,4.670034011515071,-74.05001585504847,1,Chilled
10061542,4.670034011515071,-74.05001585504847,13,Dry
10061542,4.670034011515071,-74.05001585504847,1,Frozen
10061543,4.690077143980509,-74.0999744335455,33,Chilled
10061543,4.690077143980509,-74.0999744335455,8,Dry
10061544,4.859933653168969,-74.03995471720492,51,Chilled
10061544,4.859933653168969,-74.03995471720492,14,Dry
10061547,4.710025850898855,-74.10996586900943,70,Chilled
10061547,4.710025850898855,-74.10996586900943,32,Dry
10061553,4.729902012663123,-74.0400450331394,34,Chilled
10061553,4.729902012663123,-74.0400450331394,10,Dry
10061555,4.699956773163558,-74.03993980604403,51,Chilled
10061555,4.699956773163558,-74.03993980604403,14,Dry
10061555,4.699956773163558,-74.03993980604403,1,Frozen
10061563,4.649997969611944,-74.09991852707803,62,Chilled
10061563,4.649997969611944,-74.09991852707803,13,Dry
10061564,4.759922401692417,-74.04998685812372,68,Chilled
10061564,4.759922401692417,-74.04998685812372,16,Dry
10061565,4.6399434483589825,-74.08001598348498,17,Chilled
10061565,4.6399434483589825,-74.08001598348498,4,Dry
10061568,4.61003477627454,-74.07009091515614,26,Chilled
10061568,4.61003477627454,-74.07009091515614,6,Dry
10061569,4.619922202240459,-74.14000198030793,106,Chilled
10061569,4.619922202240459,-74.14000198030793,19,Dry
10061570,4.660046305544777,-74.06004278274695,0,Chilled
10061570,4.660046305544777,-74.06004278274695,14,Dry
10061571,4.7300206158251585,-74.0599421406205,18,Chilled
10061571,4.7300206158251585,-74.0599421406205,5,Dry
10061954,4.670060654068503,-74.08007627465464,3,Chilled
10061954,4.670060654068503,-74.08007627465464,25,Dry
10061966,4.700085763293233,-74.02999954714303,79,Chilled
10061966,4.700085763293233,-74.02999954714303,205,Dry
10061966,4.700085763293233,-74.02999954714303,2,Frozen
10062215,4.750062518958342,-74.1399136675769,6,Dry
10062304,4.65003781922032,-74.06003614783656,0,Chilled
10062508,4.650017548314984,-74.05992686139217,0,Chilled
10062510,4.620028110553842,-74.13998092627577,152,Chilled
10066412,4.739914095755921,-74.0300130136734,13,Chilled
10066412,4.739914095755921,-74.0300130136734,57,Dry
10066412,4.739914095755921,-74.0300130136734,1,Frozen
10068025,4.740035264720463,-74.03007436243878,4,Chilled
10068025,4.740035264720463,-74.03007436243878,3,Dry
10068025,4.740035264720463,-74.03007436243878,0,Frozen
10068308,4.659964215007666,-74.04997523734308,2,Chilled
10068308,4.659964215007666,-74.04997523734308,3,Dry
10070184,4.67990995947215,-74.12992794650441,12,Chilled
10070184,4.67990995947215,-74.12992794650441,36,Dry
10070184,4.67990995947215,-74.12992794650441,2,Frozen
10070210,4.600073441661011,-74.16994031487174,2,Chilled
10070210,4.600073441661011,-74.16994031487174,5,Dry
10070210,4.600073441661011,-74.16994031487174,0,Frozen
10070211,4.659998325580348,-74.1299824034596,2,Chilled
10070211,4.659998325580348,-74.1299824034596,2,Dry
10087039,4.629930400803803,-74.13006867750975,71,Dry
10091424,4.6300136447953815,-74.16008357022629,6,Dry
10091553,4.6000391368816125,-74.08008282358976,1,Dry
10092059,4.669950954412202,-74.05000039762831,20,Chilled
10092059,4.669950954412202,-74.05000039762831,30,Dry
10092059,4.669950954412202,-74.05000039762831,0,Frozen
10092060,4.670004761793506,-74.05003591893235,2,Chilled
10092060,4.670004761793506,-74.05003591893235,15,Dry
10092060,4.670004761793506,-74.05003591893235,0,Frozen
10093852,4.669951630079598,-74.07993305302965,20,Dry
10101972,4.670053940782746,-74.07001462725903,0,Chilled
10101972,4.670053940782746,-74.07001462725903,0,Dry
10144216,4.640025027465358,-74.07008602313043,4,Dry
10145753,4.759928685977427,-74.02996543308245,3,Chilled
10145753,4.759928685977427,-74.02996543308245,18,Dry
10149040,4.86995492200971,-74.06004873066948,2,Chilled
10149040,4.86995492200971,-74.06004873066948,61,Dry
10150715,4.860099295715263,-74.03991191427362,8,Chilled
10150715,4.860099295715263,-74.03991191427362,67,Dry
10150717,4.670010069894876,-74.0800994773188,1,Chilled
10150717,4.670010069894876,-74.0800994773188,7,Dry
10150736,4.620038903091275,-74.06997120781868,19,Chilled
10150736,4.620038903091275,-74.06997120781868,2,Dry
10150752,4.670096840866862,-74.06997041506082,1,Chilled
10150752,4.670096840866862,-74.06997041506082,18,Dry
10151057,4.690029146614059,-74.05009874074601,8,Chilled
10151057,4.690029146614059,-74.05009874074601,7,Dry
10151067,4.670012947586788,-74.10993910236856,0,Chilled
10151067,4.670012947586788,-74.10993910236856,16,Dry
10151090,4.73995770080017,-74.0400794797215,35,Dry
10151167,4.8099811405434565,-74.09996096400002,0,Dry
10151170,4.600092894533882,-74.07006604234542,0,Dry
10151235,4.640059173631942,-74.11996399955927,1,Dry
10151236,4.700067069217998,-74.0499268694939,5,Chilled
10151246,4.8499935476016995,-74.07004331469854,7,Chilled
10151246,4.8499935476016995,-74.07004331469854,8,Dry
10151247,4.67001182112184,-74.0700501121616,0,Chilled
10151247,4.67001182112184,-74.0700501121616,42,Dry
10151248,4.91004755362855,-74.020094703535,3,Dry
10151255,4.749902118502599,-74.04001631276788,3,Chilled
10151255,4.749902118502599,-74.04001631276788,35,Dry
10151255,4.749902118502599,-74.04001631276788,1,Frozen
10151264,4.730062108991883,-74.04993760481103,255,Chilled
10151264,4.730062108991883,-74.04993760481103,155,Dry
10151306,4.6199468220055575,-74.08007537354452,26,Dry
10151335,4.660049917424498,-74.07004345026598,1,Chilled
10151335,4.660049917424498,-74.07004345026598,13,Dry
10151341,4.73996848279557,-74.0299982964082,16,Chilled
10151341,4.73996848279557,-74.0299982964082,55,Dry
10151391,4.66001748457662,-74.06007904700799,5,Chilled
10151391,4.66001748457662,-74.06007904700799,3,Dry
10151391,4.66001748457662,-74.06007904700799,0,Frozen
10156522,4.579988646593642,-74.09990493060823,0,Chilled
10156522,4.579988646593642,-74.09990493060823,3,Dry
10156522,4.579988646593642,-74.09990493060823,0,Frozen
10161185,4.410017538259781,-73.95003098430186,0,Chilled
10161185,4.410017538259781,-73.95003098430186,33,Dry
